full_text,created_at,username
Mengapa banyak orang yang tidak bisa berempati dengan apa yang terjadi di Palestina saat ini? {sebuah utas singkat} https://t.co/ikdqFgQxvN,Fri Jun 14 01:37:20 +0000 2024,neohistoria_id
Fess semua orang harus tau kalo sender nemu le minerale ukurn 3L lucu bgt botolnyaahhh https://t.co/hF6e7YfI3H,Thu Jun 13 07:57:39 +0000 2024,FOODFESS2
Dikala rancak rakyat Malaysia berbincang isu Faisal Halim tiba-tiba sahaja ada kes lama dibuka balik. Dalam seminggu juga orang fokus pada kes OKU tersebut. End up tidak jumpa juga pembunuh sebenar. Let's bring this back. All eyes on the Faisal Halim case! https://t.co/iu9thANr1n,Thu Jun 13 04:53:37 +0000 2024,ZacZakirin13
Pada mastermind yang upah orang baling acid dekat Faisal Halim moga di balas dengan 7 keturunan kena kanser dan tiada baka keturunan yang hidup sempurna selepas ini. https://t.co/MKZcZMidKx,Thu Jun 13 06:41:08 +0000 2024,MALAYSIAVIRALLL
Ya Allah ringankanlah langkah orang yang membaca ni. https://t.co/CNc1atgJwX,Thu Jun 13 09:28:11 +0000 2024,SantapanMinda
Cek NIK di Provider sebelum terlambat - Siapa tau NIK anda dipake orang lain untuk mendaftarkan Sim Card-nya mini Thread Peristiwa ini terjadi saat iseng2 Cek berapa Simcard yang terdaftar pada NIK pada aplikasi myTelkomsel https://t.co/Bz64ikd10k,Thu Jun 13 17:25:41 +0000 2024,mindaart
Syifa Hadju said: Orang yang udah dibebasin tapi tetep ga berani macem-macem karena kayak punya Udah dikasih kepercayaan jadi ga boleh ngecewain you are the best version of person ever. ,Wed Jun 12 10:17:13 +0000 2024,gesangnurh
Buat kalian yang mau interview kerja sidang skripsi lamaran persentasi di tempat kerja ketemu orang atau biar dilancarkan lisannya coba baca doa ini doa nabi musa biar lancar dan semua urusanya dipermudah https://t.co/8l2e2la2va,Mon Jun 10 13:06:25 +0000 2024,dhelsadell
Menurut gue silent treatment adalah suatu bentuk ungkapan emosional yang paling tega. Tanpa kita sadari itu adalah salah satu bentuk penyiksaan psikologis terhadap orang lain. Lo asik-asikan silent treatment dengan dalih redam emosi sementara orang lain lo bikin overthinking.,Wed May 01 11:19:19 +0000 2024,gesangnurh
Perkataan @radityadika kenapa banyak orang ga bahagia di-relationship ini make sense banget. Kita terlalu banyak menuntut dan dituntut pasangan. https://t.co/AkGQGAQvqK,Thu Jun 13 09:17:28 +0000 2024,KemenperinRI
