User,Isi konten,Date
HcIndependen,"@tvOneNews Mau tethub bebas  atas meroket tetap aja  utang dan Utang utang utang utang lagi.jadi buat apa kita setor pajak, utang dan korupsi tetap meroket",2023-06-26 23:59:44+00:00
theforge8888,"@Okki_Sutanto @hariankompas Pusing ya, masa selalu muncul kasus yang sama berulang-ulang? Ada yang salah

1. Korporasi besar menghancurkan lingkungan dan rakyat kecil dianggap biasa
2. Demokratisasi perilaku kriminal, ganjaran hukumannya minimal (korupsi, pemerkosaan, dsb)
3. Viral based policy",2023-06-26 23:55:34+00:00
24b5cc37e61d40f,"Mungkin lebih baik maksimalkan.kerja polri dan kejaksaan menangani kasus korupsi yg terbengkalai atau dibiarkan oleh KPK,PERTNYAANNYA GMN DG KPK?BUBARKAN SAJA KRN DIPENUHI UNSUR POLITIK.",2023-06-26 23:54:20+00:00
DavinaSastro,"@DavidWijaya82 Bukan cuma kasus ini aja yang bakal menjerat @dennyindrayana si penyebar Hoax.
Kasus Korupsi Payment Gate juga https://t.co/Sssaqd3P15",2023-06-26 23:53:37+00:00
rangkutifuat,"@alisyarief @PDI_Perjuangan partai gagal membuktikan diri membuat Indonesia lebih baik saat berkuasa. Pencapaiannya justru menurun dibandingkan pencapaian pak @SBYudhoyono .

Hasil mereka saat berkuasa:
1. Utang menyundul langit
2. Korupsi merajalela
3. KPK dibonsai
4. KCIC",2023-06-26 23:49:36+00:00
elysiaNathra,"@Joker_Wedoks @NyaiiBubu @theT4ntryS1 @tithabestary @jokerprikitiuw @Jokers_Oma @JokerWoen_009 @Joker_Li55ong @the_RUNGKAD_ @KaredokLeunca__ @SE_1NJA @JokerVenom_Mey @VeelaaRhie @Kadrun_PeKaiii @dinarArunika @Joker_Dalbo @DJoker_GinOngs Pentingnya kejujuran dari seorang Ganjar Pranowo 👍

MBOTEN NGAPUSI
MBOTEN KORUPSI https://t.co/bMRpW0HOk2",2023-06-26 23:49:20+00:00
her_alone,"Semakin banyaknya kontroversi dilembaga KPK, ada baiknya lembaga ini dibubarkan. Selain membebani anggaran negara, juga rawan digunakan sebagai tangan politik.
Korupsi tetap harus dilawan, tetapi dengan pendidikan moral dan tauladan pemimpin.",2023-06-26 23:48:47+00:00
KATADATAcoid,Johnny Plate Jalani Sidang Perdana Kasus Korupsi BTS Kominfo Hari Ini https://t.co/nTvvLgX0N6,2023-06-26 23:48:03+00:00
warsito_al,"@cnbcindonesia Klo ada yg bilang ustad ceramah aja ngga usah urusi politik. Lha ini pengusaha mah bisnis aja nggak usah ke politik, rawan korupsi.",2023-06-26 23:46:57+00:00
BapasTidore,"Selamat Pagi Sobat Pengayoman!

Berikut admin sampaikan informasi terkait hasil Indeks Kepuasan Masyarakat (IKM) dan Indeks Persepsi Anti Korupsi (IPK) bulan Juni 2023

@Kemenkumham_RI
@malut_kumham
#KemenkumhamMalut
#KumhamMalut
#KanwilMalut
#MAdnan
Kemenkumham Malut M. Adnan https://t.co/jrxYWrZvfV",2023-06-26 23:46:28+00:00
