User,Isi konten,preprocessed,Date
HcIndependen,,"mau tethub bebas atas meroket tetap aja utang dan utang utang utang utang lagi.jadi buat apa kita setor pajak, utang dan korupsi tetap meroket",2023-06-26 23:59:44+00:00
theforge8888,,"_sutanto pusing ya, masa selalu muncul kasus yang sama berulang-ulang? ada yang salah korporasi besar menghancurkan lingkungan dan rakyat kecil dianggap biasa demokratisasi perilaku kriminal, ganjaran hukumannya minimal (korupsi, pemerkosaan, dsb) viral based policy",2023-06-26 23:55:34+00:00
24b5cc37e61d40f,,"mungkin lebih baik maksimalkan.kerja polri dan kejaksaan menangani kasus korupsi yg terbengkalai atau dibiarkan oleh kpk,pertnyaannya gmn dg kpk?bubarkan saja krn dipenuhi unsur politik.",2023-06-26 23:54:20+00:00
DavinaSastro,,bukan cuma kasus ini aja yang bakal menjerat si penyebar hoax. kasus korupsi payment gate juga https://t.co/sssaqd,2023-06-26 23:53:37+00:00
rangkutifuat,,_perjuangan partai gagal membuktikan diri membuat indonesia lebih baik saat berkuasa. pencapaiannya justru menurun dibandingkan pencapaian pak hasil mereka saat berkuasa: utang menyundul langit korupsi merajalela kpk dibonsai kcic,2023-06-26 23:49:36+00:00
elysiaNathra,,_wedoks _oma _li ong _rungkad_ __ nja _mey _pekaiii _dalbo _ginongs pentingnya kejujuran dari seorang ganjar pranowo mboten ngapusi mboten korupsi https://t.co/bmrpw hok,2023-06-26 23:49:20+00:00
her_alone,,"semakin banyaknya kontroversi dilembaga kpk, ada baiknya lembaga ini dibubarkan. selain membebani anggaran negara, juga rawan digunakan sebagai tangan politik. korupsi tetap harus dilawan, tetapi dengan pendidikan moral dan tauladan pemimpin.",2023-06-26 23:48:47+00:00
KATADATAcoid,,johnny plate jalani sidang perdana kasus korupsi bts kominfo hari ini https://t.co/ntvvlgx,2023-06-26 23:48:03+00:00
warsito_al,,"klo ada yg bilang ustad ceramah aja ngga usah urusi politik. lha ini pengusaha mah bisnis aja nggak usah ke politik, rawan korupsi.",2023-06-26 23:46:57+00:00
BapasTidore,,selamat pagi sobat pengayoman! berikut admin sampaikan informasi terkait hasil indeks kepuasan masyarakat (ikm) dan indeks persepsi anti korupsi (ipk) bulan juni _ri _kumham kemenkumham malut m. adnan https://t.co/jrxywrzvfv,2023-06-26 23:46:28+00:00
wawanputro1,,ngomongin korupsi di kandang koruptor,2023-06-26 23:44:27+00:00
MukhitsP,,kesal gak dana pemerintah dihabiskan oleh petugas partai pdi-p dengan di korupsi?? koruptor terbesar sepanjang sejarah indonesia sampai saat ini adalah pdi-p lho pak. soeharto gak ada apa-apa nya!!,2023-06-26 23:44:18+00:00
RWati65,,"tapi klo di korea/jepang ketahuan korupsi,orang tersebut langsung harakiri, tapi klo di indonesia selesai di hukum karena korupsi langsung di sambut sebagai senior politisi..wkwkwk this is one thing that is very different..that's indonesia",2023-06-26 23:43:33+00:00
tweet_kuy,,"dari dua orang divideo..satunya menyerah sama korupsi, satunya berani lawan korupsi, dan makhluk ini ngetweet macam gini?? anchooree",2023-06-26 23:43:28+00:00
guswachid_66,,kok masih minta diperpanjang masa jabatannya... emang sih.. kalau urusan korupsi getol banget supaya gagah.. tapi kalau urusan kekotoran dikandang sendiri[kadalisme] pada rapat kunci mulut.,2023-06-26 23:43:16+00:00
DermagaGarely,,"kok rasanya skrg kurang percaya dgn kpk...sejak personilnya terlibat perselingkuhan...pelecehan sexual...!! dan itu dianggap ringan oleh kpk, terbukti hanya sanksi etik saja ... bgmn mau melakukan penindakan korupsi, kalau moral personalnya aja moralnya jeblok..!",2023-06-26 23:43:14+00:00
TafsirInstitute,,"dalam kamus besar bahasa indonesia (kbbi) korupsi diartikan sebagai penyelewengan atau penyalahgunaan uang negara (perusahaan dan sebagainya) untuk keuntungan pribadi atau orang lain. sehingga, korupsi bisa kita katakan sebagai bagian dari kezhaliman seseorang terhadap harta.",2023-06-26 23:40:07+00:00
Lidya80352307,,paling bnyk korupsi nasdem,2023-06-26 23:37:11+00:00
bostari,,masalah berbagai hal terutama korupsi dan konstitusi,2023-06-26 23:35:58+00:00
papasaurusx,,selalu memantau korupsi yg di eksekusi selangkangan,2023-06-26 23:35:39+00:00
Hendrijon076,,"ngomong moral dan korupsi,bknkah anda tersangka korupsi...? apakah itu bermoral...?",2023-06-26 23:33:10+00:00
cnbcindonesia,,kejagung periksa pejabat antam soal korupsi emas https://t.co/cjumtyc it,2023-06-26 23:33:05+00:00
aGusDurian1,,"untuk apa ada pajak kalau bikin kotak pemilu saja dari kardus? mikir! untuk apa ada pajak, kalau istana negara dipakai kumpul para relawan? mikir! untuk apa ada pajak kalau korupsi kian menjadi? mikir! untuk apa ada pajak, kalau mobil listrik disubsidi, pupuk petani dicabuti???",2023-06-26 23:33:02+00:00
herdihamzah,,"""kekhawatiran terbesar dpr dan pemerintah soal ruu ini, adalah soal senjata makan tuan. semacam menjerat leher sendiri,"" kata peneliti pusat studi anti korupsi (saksi) _ri https://t.co/pf hyihkub",2023-06-26 23:31:47+00:00
manusiarombeng,,_ri jadi inget korupsi sapi....,2023-06-26 23:30:42+00:00
Haziqmahmur90an,,"aku nak tengok selangor ja sekarang ni. menarik prn kali ni. kerajaan yg terjerit berkenaan korupsi berkahwin bercium mulut dengan parti yang paling banyak korupsi. ironi? nope. hipokrit, yes. rakyat menilai.",2023-06-26 23:29:40+00:00
bekamfahokwam1,,"habis reformasi membuai rakyat dengan janji-janji nggak tahunya biang korupsi, diberi amanah dua periode masih saja ugal-ugalan padahal kekuasaan pasti dan niscaya dipergilirkan ingat hanya masalah waktu",2023-06-26 23:27:25+00:00
kompascom,,"menkominfo nonaktif, johnny plate jalani sidang perdana kasus dugaan korupsi proyek bts di pengadilan tipikor, jakarta, hari ini https://t.co/ drbarxgyj",2023-06-26 23:26:07+00:00
Sikidipapap12,,"resiko karena jadi koruptor, saat mereka korupsi, mereka juga lupa apa itu norma..",2023-06-26 23:25:49+00:00
Meckrok,,said didu beber kerugian negara di mandalika sudah memenuhi unsur korupsi https://t.co/uvd tq https://t.co/gqiakt ss,2023-06-26 23:25:28+00:00
mmdalimunthe,,"indikasi korupsi bts nya bbp bulan yang lalu, akhirnya kejagung memblok aset nya. mari kita memantau sambil ngopi",2023-06-26 23:25:05+00:00
lppmartapura,,halo sanak lapermata terimakasih atas kepercayaan sanak lapermata atas pelayanan lpp martapura pada survey kepuasan masyarakat dan persepsi anti korupsi.. _kalsel faisol ali lilis yuaningsih https://t.co/hli nqszyw,2023-06-26 23:24:16+00:00
setyobudi_250,,sita harta pejabat yang korupsi..,2023-06-26 23:23:33+00:00
AsixChanel,,urusan korupsi itu urusan kpk,2023-06-26 23:20:28+00:00
IndraJa27816580,,"klo sdah hapus total korupsi baru bisa semuanya gratis bukan cuma berobat saja maka. juga bisa gratis ga perlu susah kerja,",2023-06-26 23:18:17+00:00
detikcom,,kursi menkominfo masih kosong usai johnny plate ditahan kejagung kasus dugaan korupsi proyek bts bakti. jokowi kini sudah mengantongi nama pengganti plate. https://t.co/n kkugvxua,2023-06-26 23:18:17+00:00
rejimrampok,,"tapikan akan tetep aman, even dia adalah otak dr korupsi tersebut, untouchable.",2023-06-26 23:18:03+00:00
DermagaGarely,,apalagi yg mau di harapkan dari benteng anti rasuah ini ..kalau akhlak dan moralnya berantakan..!! pdhl dibutuhkan akhlak dan moral yg tinggi dari petugas yg anti korupsi..,2023-06-26 23:11:38+00:00
