Date,Tweet,label,gol_korupsi
6/29/2023,bong dengar ya orang lurah berbicara korupsi silakan barang ada menggilakan insfrastruktur dibangga banggakan mubazir,negatif,Hujatan
6/29/2023,negara kesatuan republik indonesia jawa,netral,NaN
6/29/2023,beliau cocok diangkat duta anti korupsi,negatif,Hujatan
6/29/2023,gurita korupsi,negatif,Hujatan
6/29/2023,penyelenggaraan ibadah haji era menteri agama diaudit lengkap dimohon lidik sidik gapsrcaya for your information testimoni saksi hidup penyelenggaraan ibadah haji era menteri agama,netral,NaN
6/29/2023,kepala sekolahnya korupsi benaran korupsi anjrit wkwk,negatif,Pendidikan
6/29/2023,ada korupsi dana haji idulqurban,negatif,Hujatan
6/29/2023,renovasi bangunan tua namanya kesempatan korupsi,negatif,kesehatan
6/29/2023,polanya surat pemberitahuan tahunan mengungkap korupsi dicopot owi coba kemarin mahfud md dicopot mahfud pengikutnya pikir 100x owi berani nyopot mmd diungkap,negatif,kesehatan
6/29/2023,a i integritas diucap tersangka pidana korupsi,negatif,Hukum
6/29/2023,bodoh memangnya anua uang korupsi bts,negatif,Hujatan
6/29/2023,direktur eksekutif center of energy resources indonesia ceri yusri usman menyarankan menteri badan usaha milik negara erick thohir etho mencopot direksi pe amina diduga makelar markus korupsi bts menyeret eks menteri komunikasi informasi johnny plate,negatif,Hujatan
6/29/2023,koruptor musuh bangsa radikalisme disayangkan ada ai pro pemerintah terlibat korupsi ya spe i jokowi tebang pilih sikat habis,negatif,Hujatan
6/29/2023,mentrinya jokowi terseret korupsi,negatif,Hujatan
6/29/2023,twit cocokologi mentri2 korupsi beda bos nya,negatif,Hujatan
6/29/2023,korupsi kah,negatif,Hujatan
6/29/2023,korupsi,negatif,Hujatan
6/29/2023,kepalanya simbol ai juara korupsi,negatif,Hujatan
6/29/2023,launching ambruk abal abal korupsi materialnya,negatif,Hujatan
6/29/2023,kencangnya laj bola salju skandal korupsi bts terkuak ada aliran dana istana presiden pemilucurangrakyatrevolusi pemilucurangrakyatrevolusi pasal pemakzulan presiden trrbukti lakukan korupsi pasal 7b undang undang dasar 1945 ayat 1 ayat 7,negatif,Hujatan
6/29/2023,korupsi dana haji 2 0,negatif,Hujatan
6/29/2023,komisi pemberantasan korupsi korupsi percaya komisi pemberantasan korupsi,negatif,Polisi
6/29/2023,ai raja korupsi indonesia kasih ruang bumi pe iwi tenggelamkanpdip2024,negatif,Hujatan
6/29/2023,pencabulan korupsi malam simpatisan pedofil gampang sistemnya semi monarki,negatif,Hujatan
6/29/2023,t o p nih warga 2 warga melaporkan kades sukamanah kecamatan cibeber kabupaten cianjur kejaksaan negeri cianjur diduga tindak korupsi badan usaha milik desa ketahanan pangan pungutan liar pendaftaran tanah sistematis lengkap ptsl blokm p21,negatif,kesehatan
6/29/2023,ada undang undang perampasan aset koruptor diketuk palu pe dewan perwakilan rakyat ri sarang korupsi anggaran pendapatan belanja negara,negatif,Ekonomi
6/29/2023,ayah korupsi biar,negatif,Hujatan
6/29/2023,ada korupsi mangkrak tangan kerugian negara akibat korupsi blokm p21 kenal ampun sigap ganas,negatif,Ekonomi
6/29/2023,berbicara ikutan korupsi,negatif,Hujatan
6/29/2023,ramai buta pekak bisu korupsi penganiayaan kuasa kronisme ph ranah pencucian otak patut sokong i membabi buta rakyat patut sokong berdasarkan isu tindaklaku prinsip,negatif,Hujatan
6/29/2023,hukum unk koruptor ai ai demokrasi indonesia perjuangan hukum unk pejabat aktif korupsi hukum suka bohong ada,negatif,Hujatan
6/29/2023,warga ukraina khawatir korupsi donor menjanjikan miliaran rusia,negatif,Hujatan
6/29/2023,korupsi penggelembungan anggaran,negatif,Hujatan
6/29/2023,bilang orang orang semangat revolusi kkn takut anya pe anyakan takut pembuktian terbalik aset asetnya pro pemberantasan korupsi negara kesatuan republik indonesia ketua ri 1 prof berintegritas,negatif,Polisi
6/29/2023,kasih gambaran iya ai demokrasi indonesia perjuangan profiling calon presiden wakil presiden sebulan ganjar terpilih a inya aman marwah ai demokrasi indonesia perjuangan ganjar jatuh ai demokrasi indonesia perjuangan eksis seperempat abad runtuh ganjar korupsi e kakak tanda penduduk receh level dewan perwakilan rakyat,negatif,Hujatan
6/29/2023,bebas diragukan gerak cepat buang buang usut tuntas a z lihat korupsi bts 4g kominfo mantap,negatif,Ekonomi
6/29/2023,ya bancakan korupsi anggaran,negatif,Hujatan
6/29/2023,korupsi tua muda suka,negatif,Hujatan
6/29/2023,dibeberapa wilayah kerap ditemukan ketua cacat mental memikirkan golongannya kerap diskriminasi tindakkan pungutan liar korupsi minimnya pengawasan ketua,negatif,Polisi
6/29/2023,haram bang korupsi haram hehe,negatif,Hujatan
6/29/2023,my kontri haha,positif,NaN
6/29/2023,diangkat dilingkaran korupsi dilingkaran nge i,negatif,Hujatan
6/29/2023,ai demokrasi indonesia perjuangan buang wajah anies warganet ai juara korupsi foto dikorupsi,negatif,Hujatan
6/29/2023,gubernur jawa ganjar pranowo jajaran pemerintah provinsi korupsi ganjaruntuksemua ganjarpilihanrakyat,negatif,Hujatan
6/29/2023,te awa tolol yaelah iya kampret yaag fan prabowo presiden copras pres diwarnai korupsi elektonik kakak tanda penduduk bokep penjahat ham diwisuda kampret sih,negatif,Hujatan
6/29/2023,ya sapi kurban korupsi anjing,negatif,Hujatan
6/29/2023,indonesia tercinta enak cari duit menipu korupsi hukumannya ringan pasal perampokan pencurian anak beranak be obat haji hidup tenang tua kenal berbuat lancar2 sukses2 hidupnyq the fuck,negatif,kesehatan
6/29/2023,menyalahkan negara be ahan birokrasi sepe i tingkat korupsi mafia hukum hebat negara berbahagia buzzer berbohong,negatif,Hukum
6/29/2023,korupsi kawah condrodimuko politisi senior,negatif,Hujatan
6/29/2023,buatannya kesannya buru buru pusat dilibatkan pintar pusat dilibatkan korupsi terbukti dana pembangunannya,negatif,kesehatan
6/29/2023,pribadi limpahkan butuh endus endusan pala pakai cium mencium hitungan tuntas nih blokm p21 bom atom koruptor komisi pemberantasan korupsi buka peluang limpahkan pungutan liar korupsi biaya perjalanan dinas kepolisian republik indonesia kejaksaan,negatif,kesehatan
6/29/2023,anggaran terbuang menghasilkan manfaat sih korupsi kementerian keuangan sedih pemasukan pajak turun defisit kurangny pengawasan aturan ringany hukuman penyalahguna anggaran,negatif,Polisi
6/29/2023,mengamuk haha,positif,NaN
6/29/2023,teman korupsi 8 triliun,negatif,Hujatan
6/29/2023,memiliki integrity korupsi,negatif,Hujatan
6/29/2023,bupati jawa masuk penjara korupsi ai,negatif,Hujatan
6/29/2023,polisi resor ende koordinasi ri hitung pkn dugaan korupsi dana hibah koni ende rupiah 2 1,negatif,Hujatan
6/29/2023,orang kerjanya ngelawqk orang mempersulit pembuatan elektonik kakak tanda penduduk dananya korupsi bareng yuk,negatif,kesehatan
6/29/2023,rangkaian ibadah nyinyir 1 utang negara 09 00 19 30 2 infrastruktur 21 30 24 30 3 kereta cepat jaka a bandung 24 30 2 15 4 kereta cepat jaka a susilo bambang yudhoyono 02 15 04 00 5 nikel 04 10 4 20 6 politisasi komisi pemberantasan korupsi 06 00 07 00 7 jegal jegul calon presiden 15 00 17 00 8 korupsi bts dude,negatif,Polisi
6/29/2023,iya pas diceritakan miris na kayaknya better dipegang swasta dipegang negara korupsi tok,negatif,Hujatan
6/29/2023,kaget korupsi menteri komunikasi informasi,negatif,Hujatan
6/29/2023,kadrun berprestasi pahlawan kemerdekaan spektakuler hibah pesawat pe indonesia wakap kadrun anjing londo ireng hidup diketiak penjajah korupsi babi babi cina,negatif,Hujatan
6/29/2023,mengendus menhan mengusut tuntas dugaan korupsi formula e menyeret pengangguran bernama nyali,negatif,Sosial
6/29/2023,urgent negara hutang korupsi mending bikin sekolah gratis rakyat,negatif,Pendidikan
6/29/2023,mantan penyidik komisi pemberantasan korupsi novel baswedan ada bukti ganjar pranowo terlibat korupsi e kakak tanda penduduk ganjar pranowo,negatif,Polisi
6/29/2023,sepe i melempar batu 2 burung 1 ambil karya anies 2 korupsi komisi proyek,negatif,infrastruktur
6/29/2023,korupsi brad bts kominfo orang terkenal nih media sosial,negatif,Sosial
6/29/2023,realita indonesia era korupsi sebgai budaya sah niatnya lurus pejabat berbicara rekan ala jonan btapi kerjaannya beres lurus mantap,negatif,kesehatan
6/29/2023,menpora dito ariotedjo diduga terlibat korupsi bts gus umar,negatif,Hujatan
6/29/2023,duduk dimata allah sepulang haji korupsi wkwk,negatif,Hujatan
6/29/2023,karir prospektif diakibatkan perusakan undang undang independensi integritas organisasi lembaga penegakan hukum anti korupsi eh dikorbankan deng resign anjim,negatif,Hukum
6/29/2023,ya mudah orang kebanyakan korupsi bangsa rancang menyetujui dewan perwakilan rakyat bubarkan beban negara,negatif,Hujatan
6/29/2023,sejatinya wakil rakyat sikap atur ketua ai memerangi korupsi,negatif,Ekonomi
6/29/2023,panitianya korupsi sayuran nya bergizi wajar jamaah meninggal,negatif,kesehatan
6/29/2023,korupsi musuh iya,negatif,Hujatan
6/29/2023,heran hasil uang korupsi komplotanya,negatif,Ekonomi
6/29/2023,lawan melawan pemerintah korupsi munpung duduk menjabat menteri korupsi,negatif,Hujatan
6/29/2023,hakordia 2022 ironi adik kakak terjerat korupsi nasional rac,negatif,Ekonomi
6/29/2023,alamak kementerian sarang korupsi rezim plonga plongo,negatif,Hujatan
6/29/2023,jimmy alvarado repo er investigasi salah organisasi media terkemuka amerika mendedikasikan karirnya mengungkap korupsi perangkat diandalkan alvarado investigasinya,negatif,Polisi
6/29/2023,tunggu dewan perwakilan rakyat bersih korupsi,negatif,Hujatan
6/29/2023,kadrun tua tolol ya buzzer spesial komen pekerjaan menyambung nih korupsi teman seiman ungkit,negatif,Hujatan
6/29/2023,orang dipilih jokowi berlumur korupsi,negatif,Hujatan
6/29/2023,nih dewan perwakilan rakyat nya rapat dengar pendapat rdp kejaksaan agung komisi pemberantasan korupsi ppatk menelusuri aliran dana korupsi penerimanya,negatif,Polisi
6/29/2023,sih orang orang hidupnya sederhana pas pasan kena cobaan hidup raya tukang korupsi jahat enak hidupnya tuhan t t,negatif,Hujatan
6/29/2023,ih ogah ya berutang korupsi ya negara bayar lengser tanggung miskinin miliknya reksiko,negatif,Hujatan
6/29/2023,korupsi jahat,negatif,Hujatan
6/29/2023,iya badan eksekutif mahasiswa oi antek orde pelindung korupsi berpikirnya gaya orde heran badan eksekutif mahasiswa oi bersebeangan jokowi,negatif,Pendidikan
6/29/2023,korupsi kebanyakan anggota relasi kawan sepa ai undang undang perampasan aset orang kena miskin hai,negatif,Ekonomi
6/29/2023,dibilang sis irma hutabarat dewan perwakilan rakyat diam terkait mega korupsi menara bts senilai rupiah 8 3 triliun,negatif,Pendidikan
6/29/2023,twit bang suka prabowo coblos ikutan menyebut penculik orang dityi sukseskan calon presiden fitnah bokeplah korupsi elektonik kakak tanda penduduk penculik penjahat ham norak ah,negatif,Hujatan
6/29/2023,yepp qurbanin predator seksual pelaku tindakan korupsi pembunuhan rendah hewan plsss,negatif,Hujatan
6/29/2023,ah korupsi kali,negatif,Hujatan
6/29/2023,trkecoh cebong cebong buzzer fokus korupsi ketidak keadilan majuu,negatif,Hukum
6/29/2023,nasional demokrat dibubarkan korupsi bilang semut diinjak melawan dasar ai politik pengkhianat rakyat,negatif,Hujatan
6/29/2023,komisi perencanaan korupsi,negatif,Pendidikan
6/29/2023,brutal,negatif,Hujatan
6/29/2023,korupsi pikir uangnya dimakan anak kelakuannya mario dandy junior,negatif,Hujatan
6/29/2023,memperjuangkan hukum berstatus terdakwa korupsi,negatif,Hujatan
6/29/2023,zalim korupsi,negatif,Hujatan
6/29/2023,iduladha komisi pemberantasan korupsi buka kunjungan tahanan korupsi beritajogja yoyaka a jogjaistimewa,negatif,kesehatan
6/29/2023,rumor nyata ku kena korupsi kip,negatif,Hujatan
6/29/2023,bermasalah orang ada gambar tukang palak satunya jago korupsi kelebihan bayar anehnya percaya wan aibon orang percaya wan aibon kebanyakan orang pe a alias orang k permanen,negatif,Hujatan
6/29/2023,ganjar steril radikalis khilafah korupsi kelebihan bayar jerman dikbud daerah khusus kota menipu uang muka nol persen oke oke steril mafia migas petral mafia orde steril satunya calon presiden ahli inovasi rancang bangun rekayasa ilmiah,negatif,teknologi
6/29/2023,komisi pemberantasan korupsi presiden presiden bebas korupsi petral korupsi minyak triliunan tersentuh,negatif,kesehatan
6/29/2023,korupsi komisi pemberantasan korupsi buka mata,negatif,Polisi
6/29/2023,kocag tukang menilap duit mendadak sok anti korupsi,negatif,Hujatan
6/29/2023,panda dengar korupsi,negatif,Hujatan
6/29/2023,ngawur opini kawan kawan menteri johnny korupsi atasan presiden salah be anggungjawab,negatif,Hujatan
6/29/2023,jawa timur panen kader ai demokrasi indonesia perjuangan jaman jokowi presiden kader ai demokrasi indonesia perjuangan inovatif stigmanya ditonjolin korupsi jawa timur surabaya 3 wali kotanya inspiratif bambang bu risma cak eri keren,negatif,Hujatan
6/29/2023,jadikan lahan korupsi kali,negatif,Hujatan
6/29/2023,searach nama akun tambahkan rancangan undang undang perampasan aset saking gedek rancangan undang undang ai demokrasi indonesia perjuangan bu puanpun kali kritik tajam dimana keberpihakkannya rakyat urusan korupsi ditawar tawar boikot ai menghambat,negatif,Ekonomi
6/29/2023,korupsi bayaran 400k siswa i bayar uks sekolah demo kepala sekolahnya turun tangan bayaran ada niat korupsi sih,negatif,Pendidikan
6/29/2023,banteng hasil korupsi,negatif,Hujatan
6/29/2023,2024 menang orang orang jokowi ada korupsi dana haji,negatif,kesehatan
6/29/2023,rezim jokwi unggul hutang korupsi dynasti politik parah hancur,negatif,Hujatan
6/29/2023,ai raja korupsi,negatif,Hujatan
6/29/2023,salahnya rejim kader nasderun ditangkep korupsi 8 3 t coba dibiarkan ya mletro tivu aken pembusukan,negatif,Hujatan
6/29/2023,jokowi regim kabinetnya sistim korupsi hebat rakyat melarat bayar pajak ayo berutang negeri kemanskan uangnya ayo kasih speda pembodohan,negatif,Hujatan
6/29/2023,seru nih kali plate jc hayuk buka buka seterang terang nya terbongkar bermain mega korupsi bts inj,negatif,Ekonomi
6/29/2023,jujur bully korupsi mengurus daerah khusus kota dipuji puji ya bang,negatif,Pendidikan
6/29/2023,berkualitas berakhlak ada pkip kadernya wajib korupsi,negatif,Ekonomi
6/29/2023,komisi pemberantasan korupsi komisi pemberantasan korupsi menyebut uang aset gubernur papua lukas enembe disita mencapai rp144 miliar myf lukasenembe komisi pemberantasan korupsi,negatif,Polisi
6/29/2023,suami puan terbukti korupsi pernyataan koruptor ai manapun miskinkan hukum mati ganjaran koruptor indonesia ai apapun,negatif,Hujatan
6/29/2023,buronan korupsi kredibel beda ya pembangunan,negatif,kesehatan
6/29/2023,muda2 korupsi payaaahh kemarin menjilat rumput gelora karno rusak acara bbk biar aman ya cuuiihhhh,negatif,Hujatan
6/29/2023,dituduh korupsi bersabar,negatif,Hujatan
6/29/2023,direnovasi suruh diaudit turun memeriksa sih anggaran memenuhi standar patut diduga ada korupsi pembangunannya enak langsung renovasi bebas malingnya tersentuh hukum,negatif,kesehatan
6/29/2023,menpora masuk bui kelemahan jokowi menjalani pemerintahan sektor rawan perilaku korupsi pembiaran lakukan jokowi,negatif,infrastruktur
6/29/2023,video kemarin ada sembunyikan utang seribu triliun sembunyikan rekening,netral,NaN
6/29/2023,rumah pinggir jalan raya menemukan seplastik cattan anak kulihan semoga mengurangi tingginya korupsi mari baca,negatif,infrastruktur
6/29/2023,idulfitri 2023 indeks persepsi korupsi indonesia separuh terkorup bumi kangen mukaddimah karihal munafik,negatif,Hujatan
6/29/2023,johnny plate justice collaborator jc korupsi proyek pengadaan infrastruktur base transceiver station bts hmmm seru nih,negatif,infrastruktur
6/29/2023,biar anak ingusan pemiminpin daerah tua pintar percumah korupsi oke maju mas gibran,negatif,Ekonomi
6/29/2023,aneh korupsi repot tukang gali kuburnya,negatif,Hujatan
6/29/2023,buzerp otak jembut abw menipu dahsyatnya agitprop belah bambu,negatif,Hujatan
6/29/2023,kakak yiyahk rikwes tema percintaan kkn korupsi kolusi nepotisme didasari kebinekaragaman ttup mlutmu kureng nasionalisme minimal upacara kg blos kantin dakh rikwes yiyatale,negatif,Hukum
6/29/2023,gubernur ai ya gila korupsi nya misi demokrat,negatif,Hujatan
6/29/2023,standarnya rendah dit ketahuan korupsi,negatif,Hujatan
6/29/2023,janjinya om brewok ada kadernya korupsi ai nya bubarkan menunggu vonis ya wkwk ajuuuur jum,negatif,Hujatan
6/29/2023,terima kasih isipasi survei semoga menyadari harapan masyarakat praktik korupsi komisi pemberantasan korupsi diusut tuntas diproses etik sanksi ringan maaf kebocoran dokumen komisi pemberantasan korupsi dituntaskan komisi pemberantasan korupsi,negatif,Polisi
6/29/2023,gila korupsi menggurita era kepemimpinan,negatif,kesehatan
6/29/2023,atk kantor tujuan disediakannya urusan pekerjaan ditakutkan dipakai keperluan pribadi jatuhnya korupsi korupsi menghasilkan keuntungan materi,negatif,Hujatan
6/29/2023,mantan kepala distan kabupaten barut divonis bebas dugaan korupsi kalimantan pos,negatif,Hujatan
6/29/2023,kadang 01 01000 anggaran kegiatan dipotong direvisi direvisi 01 ngomel deh anggaran perjadin menjamu 01 01000 bese a pasukannya ada anggaran dipa satunya ya pegawai negeri sipil dianggap korupsi,negatif,Hujatan
6/29/2023,pusaran korupsi proyek menara bts opini tempo siapayangditabursiapayangmenuai,negatif,infrastruktur
6/29/2023,makanan hasil korupsi a me a makanan 0 gizinya proses pembuatan makanan diserap tubuh percaya ada nilai nilai masuk terms ada ruginya jadikan pengingat,negatif,kesehatan
6/29/2023,komisi pemberantasan korupsi ri ujian integritas menangani korupsi sibuk menguber koruptor lembaganya keropos marak korupsi,negatif,kesehatan
6/29/2023,kelakuan dewan perwakilan rakyat alasan kegentingan memaksa memaksa dprnya korupsi,negatif,Hujatan
6/29/2023,korupsi negeri hilangkan,negatif,Hujatan
6/29/2023,maksudnya jokowi salah berani korupsi 8 t kesalahan jokowi,negatif,Ekonomi
6/29/2023,kebanyakan korupsi po,negatif,Hujatan
6/29/2023,01 01000 bahasa korupsi though es o pe min,negatif,Hujatan
6/29/2023,semoga ganjar menggandeng mahfud ada sinergi melanjutkan pembangunan penguatan pemberantasan korupsi pemberantasan mafia hukum penguatan penegakan hukum ada diskriminasi rakyat,negatif,kesehatan
6/29/2023,stang pas idul adha sapi suka ngamook iya beli pakai uang korupsi,negatif,Hujatan
6/29/2023,korupsi buku tuntas nih dibilang kadrun kebal hukum,negatif,Pendidikan
6/29/2023,facebook lawan twitter taruhan yuk pi haram bi korupsi pi kasih ya lebaran nyate daging geter,negatif,Hujatan
6/29/2023,pribumi tolol surat pemberitahuan tahunan sih kadrun jilat budak cendana guru korupsi indonesia,negatif,kesehatan
6/29/2023,korupsi lazim 8t,negatif,Hujatan
6/29/2023,keciri minday haha,positif,NaN
6/29/2023,pilpresnya jujur adil otomatis presiden anis baswedan 90 rakyat lndonesia perubahan negeri diambang bangkrut hutang ugal an hasil bumi dimana dirampok korupsi lampu merah hancur negeri cintai,negatif,Pendidikan
6/29/2023,ya allah menunggu zaman deh hukum orang orang korupsi in dana haji,negatif,Hujatan
6/29/2023,ada kabar korupsi nih,negatif,Hujatan
6/29/2023,saran usut tuntas formola e usut proyek mandalika kereta cepat lupa proyek bebas penyelewengan dana malu penyelewengan aliran dana korupsi bts temukan menkopolhukam,negatif,infrastruktur
6/29/2023,ada angin ada hujan menusuk haha,positif,NaN
