Tweet,preprocessed,tokenizing,polarity_score,polarity
@lrtjabodebek Selain posting jadwal yg kacau ini tolong update ttg trainset yg masuk bengkel. Katanya butuh 5-7 hari per trainset untuk perbaikan roda. Seharusnya 1 ato 2 trainset sdh kembali beroperasi saat ini. Apakah ada masalah lagi?,posting jadwal yang kacau tolong baru tentang trainset yang masuk bengkel butuh trainset baik roda atau trainset sudah operasi,"['posting', 'jadwal', 'yang', 'kacau', 'tolong', 'baru', 'tentang', 'trainset', 'yang', 'masuk', 'bengkel', 'butuh', 'trainset', 'baik', 'roda', 'atau', 'trainset', 'sudah', 'operasi']",-19,negative
Volume atau jumlah penumpang KRL Commuter Line ternyata meningkat karena konektivitas moda transportasi tersebut dengan LRT Jabodebek. https://t.co/jRaTD4NZ7p,volume tumpang kereta listrik commuter line tingkat konektivitas moda transportasi light rail transit jabodebek,"['volume', 'tumpang', 'kereta', 'listrik', 'commuter', 'line', 'tingkat', 'konektivitas', 'moda', 'transportasi', 'light', 'rail', 'transit', 'jabodebek']",-3,negative
@nadsfathinah sebenarnya bukan naik krl sih kalau habis naik kereta cepat whoosh tapi naiknya lrt jabodebek.. dari stasiun halim kcic pindah ke stasiun halim lrt jabodebek lewat jembatan penghubung mbak nad..,kereta listrik sih habis kereta cepat whoosh naik light rail transit jabodebek stasiun halim kcic pindah stasiun halim light rail transit jabodebek jembatan hubung mbak nad,"['kereta', 'listrik', 'sih', 'habis', 'kereta', 'cepat', 'whoosh', 'naik', 'light', 'rail', 'transit', 'jabodebek', 'stasiun', 'halim', 'kcic', 'pindah', 'stasiun', 'halim', 'light', 'rail', 'transit', 'jabodebek', 'jembatan', 'hubung', 'mbak', 'nad']",-15,negative
Sekelas @cnbcindonesia @CNNIndonesia masih belom bisa bedain gambar mana LRT Jakarta mana LRT Jabodebek. HADEEEH!! 😮‍💨😤 https://t.co/I7kg6IxzYU,kelas belum beda gambar light rail transit jakarta light rail transit jabodebek hadeeeh kesal,"['kelas', 'belum', 'beda', 'gambar', 'light', 'rail', 'transit', 'jakarta', 'light', 'rail', 'transit', 'jabodebek', 'hadeeeh', 'kesal']",-4,negative
Tarif LRT Jabodebek Dijamin Gak Naik Tahun Ini Tetap Segini https://t.co/RYKdnGs1tI,tarif light rail transit jabodebek jamin tidak gin,"['tarif', 'light', 'rail', 'transit', 'jabodebek', 'jamin', 'tidak', 'gin']",-10,negative
Tarif LRT Jabodebek Dijamin Gak Naik Tahun Ini Tetap Segini https://t.co/XptAowheC5,tarif light rail transit jabodebek jamin tidak gin,"['tarif', 'light', 'rail', 'transit', 'jabodebek', 'jamin', 'tidak', 'gin']",-10,negative
@nadsfathinah bukan krl mbak nad tapi lrt jabodebek mbak nad..,kereta listrik mbak nad light rail transit jabodebek mbak nad,"['kereta', 'listrik', 'mbak', 'nad', 'light', 'rail', 'transit', 'jabodebek', 'mbak', 'nad']",-4,negative
Nah ini salah satu yg disuka dari @lrtjabodebek JPO yang terintegrasi dengan stasiun jadi ga harus muter jalan dari salah satu sisi dari kedua sisi jalan rata2 nyambung ke stasiun,salah yang suka jpo integrasi stasiun tidak puter jalan salah sisi sisi jalan sambung stasiun,"['salah', 'yang', 'suka', 'jpo', 'integrasi', 'stasiun', 'tidak', 'puter', 'jalan', 'salah', 'sisi', 'sisi', 'jalan', 'sambung', 'stasiun']",-16,negative
@jokowi @erickthohir Pertama tarif yg 20rb jarak terjauh kalo boleh samain aja dengan weekend yg 10rb aja tambah gerbong sama seat nya biar ngga pakai kendaraan lain  Keluhan Penumpang LRT Jabodebek Masalah Waktu Tunggu Lama Tak Kunjung Usai https://t.co/OfE65XH5V4,tarif yang ribu jarak jauh kalau sama saja akhir pekan yang ribu saja gerbong seat nya biar tidak pakai kendara keluh tumpang light rail transit jabodebek tunggu kunjung,"['tarif', 'yang', 'ribu', 'jarak', 'jauh', 'kalau', 'sama', 'saja', 'akhir', 'pekan', 'yang', 'ribu', 'saja', 'gerbong', 'seat', 'nya', 'biar', 'tidak', 'pakai', 'kendara', 'keluh', 'tumpang', 'light', 'rail', 'transit', 'jabodebek', 'tunggu', 'kunjung']",-24,negative
@lrtjabodebek Awas kalo bohong,awas kalau bohong,"['awas', 'kalau', 'bohong']",-5,negative
