Date,Tweet
2022-01-08 18:32:49+00:00,Td ada banner gede di deretan pkl danau unesa. Tulisannya kyk ttg gaada pungutan buat pkl dll gitu ternyata pas mendekat dibawahnya ada foto org partai duhh. Placement emg no.1
2022-01-08 15:38:09+00:00,Nesa! Kkn iku harus beda prodi ta? Atau sak prodi sak geng isok janjian?
2022-01-08 15:18:59+00:00,"Nesa! Alhamdulillah bersyukur bgt IPK sm 1 udah keluar. Semoga jadi awal yang baikk, kasih tips biar IPK bisa stabil dong kak"
2022-01-08 14:58:48+00:00,nesa! maaf aku masih bingung maksudnya ngulang itu gimana ya?🙏🏻 baru semester 1 https://t.co/q0oTFNuoJ0 https://t.co/f82dP7cJgA
2022-01-08 14:54:32+00:00,Nesa! Terakhir proses SPK tanggal berapa ya ?
2022-01-08 14:52:25+00:00,"Nesa! yang smt kemarin masih full online buat smt depan udah ada isu mau offline atau kayaknya masih online ya? 
Makasii🙏"
2022-01-08 14:46:00+00:00,"nesa! kakak2 mau tanyaa, kalo ada nilai D dimatkul utama ituu gimanaa ya?"
2022-01-08 14:09:28+00:00,"DB Asia 5 - 5 Vamos FC
Susul menyusul gol terjadi dalam pertandingan Vamos FC melawan DB Asia. Laga tersebut berlangsung dalam pekan pertama Liga Futsal Pro 2021 di GOR Unesa, Surabaya, Sabtu 8 Januari 2022. Saking serunya sampai tercipta 10 gol dalam 2×20 menit. #ffi08012022 https://t.co/QDvtSHflA5"
2022-01-08 13:43:22+00:00,"Seluruh pemain dan ofisial tim peserta Liga Futsal Pro 2021, telah menjalani swab PCR. Bagian dari prokes ini dilaksanakan pada Jumat 7 Januari 2022 di GOR Unesa, Surabaya. selengkapnya klik link ini https://t.co/RfC5ruSABZ  #ffi07012022 #futsalIndonesia https://t.co/4aS72dWySD"
2022-01-08 13:17:33+00:00,"List PTN goes to school:
UB, UNESA, UNEJ, UNAIR, UNM, UIN, UTM, UPN.

Kampus saya luar negeri jadi gamasuk list👍"
2022-01-08 12:19:15+00:00,Nesa! Angkatan 20 kira-kira lulusnya tahun apa bulan berapa ya paling cepet?
2022-01-08 12:02:17+00:00,nesa! Jumlah nilai indeks 29.25 termasuk kecil ga?
2022-01-08 11:42:32+00:00,"Seluruh pemain dan ofisial tim peserta Liga Futsal Pro 2021, telah menjalani swab PCR. Bagian dari prokes ini dilaksanakan pada Jumat 7 Januari 2022 di GOR Unesa, Surabaya. selengkapnya klik link ini https://t.co/G1QrxRsXUa  #ffi07012022 #futsalIndonesia https://t.co/u0OVX8SnEI"
2022-01-08 11:15:00+00:00,"ptn! nilai rata rata 86,39 mending nyoba di sasing unair atau sasing unesa ya?"
2022-01-08 10:35:35+00:00,Pengen bucin tapi bingung sama siapa https://t.co/OUDRVEyEYU
2022-01-08 10:14:31+00:00,"Safin 1 - 6 IPC Pelindo
IPC Pelindo menang telak atas Safin FC dalam pekan pertama Liga Futsal Pro 2021. Bermain di GOR Unesa, Surabaya, Sabtu 8 Januari 2022, IPC menang 6-1 atas Safin.

#ffi08012022 #futsal #indonesia https://t.co/FnWQiSMFtR"
2022-01-08 09:32:47+00:00,"Sebelum mulai semester baru nanti, ada saran gak nih buat adik-adik biar kuliahnya lancar? ✌🏻"
2022-01-08 08:55:48+00:00,"keputih-danau unesa-alun² darjo 👍🏽

antara gbut mbe stres"
2022-01-08 08:48:26+00:00,"Seluruh pemain dan ofisial tim peserta Liga Futsal Pro 2021, telah menjalani swab PCR. Bagian dari prokes ini dilaksanakan pada Jumat 7 Januari 2022 di GOR Unesa, Surabaya. selengkapnya klik link ini https://t.co/GaYHGePqmi  #ffi07012022 #futsalIndonesia https://t.co/AaxL0Pvr7W"
2022-01-08 08:46:35+00:00,unesa - sastra inggris https://t.co/sZ6Oy7NEq1
2022-01-08 08:09:03+00:00,"Kancil BBK 1 - 1 BTS
KANCIL BBK berhasil menahan tim bertabur bintang BTS FC dalam pertandingan pekan pertama Liga Futsal Pro 2021. Laga berlangsung di GOR Unesa, Surabaya, Sabtu 8 Januari 2022.
#ffi08012022 #futsal #indonesia https://t.co/RAL5GceWdt"
2022-01-08 06:46:46+00:00,"Halus 1 - 2 Pendekar United

PENDEKAR United memenangi pertandingan pembuka Liga Futsal Pro 2021. Kemenangan didapat atas Halus FC dalam pekan pertama yang berlangsung di GOR Unesa, Surabaya, Sabtu 8 Januari 2021.
#ffi08072022 #futsal #indonesia https://t.co/BXjV3o9fjq"
2022-01-08 06:32:17+00:00,"nesa!
kalo ikt kampus merdeka itu semester selanjutnya gabjsa ikt kkn ya?"
2022-01-08 06:16:19+00:00,nesa! pie rek mengecewakan ta membanggakan
2022-01-08 05:46:56+00:00,"Hati-hati lubang dalam di jln Mayjend Yono Suwono dr arah Mayjend Sungkono menuju Unesa. Lokasi lubang dalam, utara pos pantau polisi, dan samping pos polisi dipasang pembatas jalan.
Sebelum ranchmarket jg banyak lubang, @e100ss"
2022-01-08 04:57:26+00:00,GOR unesa lantaine wes d tempeli plastik e. Yo ngunu ben apik titik
2022-01-08 03:45:12+00:00,"Sekitar tahun 1997 Apartemen Puncak Bukit golf ini terlihat jelas kalau dilihat dari area Danau Unesa,sekarang terhalang Landmarc. https://t.co/SLRNcKVWm3"
2022-01-08 03:40:23+00:00,SchApp! Kakak kakak ada yang keterima unesa jalur prestasi ngga yaa? Mau tanya tanya bolehh? Nanti sender dm hehe terimakasiiiiiiii 🥺🥺💕
2022-01-08 02:41:21+00:00,aku bangga banget jd anak HI unesa
2022-01-08 01:24:01+00:00,Genk kalian libur semester berapaa lamaa nih🤩 rencana mau ngapain ajaa selama liburr?
2022-01-08 00:16:51+00:00,"Awal mula di tahun ini saya tertekan, enak unesa polll kuliah e 😭 https://t.co/iaHjnYhXXP"
2022-01-07 23:50:06+00:00,"Seluruh pemain dan ofisial tim peserta Liga Futsal Pro 2021, telah menjalani swab PCR. Bagian dari prokes ini dilaksanakan pada Jumat 7 Januari 2022 di GOR Unesa, Surabaya. selengkapnya klik link ini https://t.co/MtA0F1ibua  #ffi07012022 #futsalIndonesia https://t.co/orGZVdAvgQ"
2022-01-07 22:43:35+00:00,nesa! yg semester 3 IP kalian gimana? tetep naik dan aman kah? atau ini emang kebanyakan pada turun ya? thanks
2022-01-07 16:07:55+00:00,Join me in my Space!  Lanjut lanjut https://t.co/RcqU9P9uiU
2022-01-07 15:00:33+00:00,lolos snmptn unesa who? https://t.co/xq69MfcIvl
2022-01-07 14:56:02+00:00,Nesa! Mau tanya kalo buat turnitin daftar pustaka ikut dimasukkin apa gak perlu ya?
2022-01-07 14:29:23+00:00,nesa! Rek mau tanya dari terminal Bungurasih ke unesa Ketintang selain naik grab/gojek bisa naik apa ya? Bis/angkot kah? Tarifnya berapa ya?
2022-01-07 14:18:46+00:00,"nesa! ipk akhir pas lulus pake gpa semester 1 dan 2 ga? kan ada tuh kampus buat penentuan ipk akhir pake gpa sem 3-lulus. kalau unesa gimana ya, thankyouu kakak-kakakk"
2022-01-07 13:04:00+00:00,Info nasi goreng yang enak dong. Kalau bisa yang sekalian makannya di suapin gitu loh 🥲
2022-01-07 13:02:03+00:00,Ini kenapa yang ujan di luar tapi yang basah di hati 😭
2022-01-07 12:05:00+00:00,"PTN! Nilai rata-rata 88 aman ngga snmptn pilih unesa/unej? btw soshum, makasii"
2022-01-07 11:58:58+00:00,enak di unesa apa unair? jujur masih bingung milih ini
2022-01-07 11:10:39+00:00,"Gimana hasil semesterannya kawan"" nesa! ? Mau mengutarakan sesuatu 😆"
2022-01-07 10:44:33+00:00,pengen banjir-banjiran di unesa wkwkwk
2022-01-07 10:37:18+00:00,Nih aku kalau masuk manajemen unesa jadi pembuka nih
2022-01-07 10:22:54+00:00,"-rek pasar sg deket unesa liwed dimana ya ? mau beli teajus 😭 aku dari luar sby, jd blm faham, thx"
2022-01-07 10:18:36+00:00,di nesa! ada fasilitas konseling ga? kalo ada di mana ya? makasih
2022-01-07 09:19:03+00:00,"nesa! rek emang dosen unesa banyak yang gamau perbaikan nilai ya? kalau misal pas entry nilai dpt yang ga sesuai gitu mending minta tugas tambahan sebelum entry nilai atau gmn ya? tolong dong kating, beri aku solusi :)"
2022-01-07 07:43:25+00:00,nesa! cara liat nilai ip tuh di mana ya? makasih
2022-01-07 07:39:09+00:00,nesa! kalo mau daftar magang merdeka tp ga relate sama sekali sama jurusan kita tuh biasanya dibolehin sama kampus/dosen2 di jurusan nggak ya?
2022-01-07 06:58:31+00:00,"Inilah jadwal pekan 1 #LigaFutsalIndonesia musim 2021-22 yang akan berlangsung di GOR Unesa, Surabaya pada 8 dan 9 Januari besok.

#Futsal #FutsalIndonsia #LigaFutsalProfesional #ProFutsalLeague https://t.co/dsaEMrIMh7"
2022-01-07 06:50:15+00:00,nesa! Mending kkn semester 6 atau 7 ?
2022-01-07 06:26:29+00:00,es teh indonesia cabang babatan unesa emang paling top!
2022-01-07 06:16:16+00:00,"nesa! Hari ini terakhir input nilai, tapi masih ada 5 mk yang belum ada nilainya 😭😭
Itu kenapa ya kak?"
2022-01-07 06:01:42+00:00,"Dibalik ibu vania yang sayang banget sama keluarganya
Gua salut si sama penelitian scientist dia soal tiktok di bidang illmu komunikasi dan media
Proud of u madam 👏🏻
.
.
.
Dia juga
(Gapernah bahas SJW, S3 ilkom, Dosen Unesa)"
2022-01-07 05:48:38+00:00,nesa! mau tanya kakak kakak disini apakah maba bisa mengajukan perpanjangan pembayaran ukt? makasih
2022-01-07 05:27:24+00:00,"nesa!
info beasiswa?"
