No,Judul Artikel,Nama Jurnal,Prosiding,Penulis,Tahun Terbit,URL Artikel,URL PDF,Abstrak
1,"
Energy-efficient two-way full-duplex relay transmission strategy with SWIPT and direct links
",EURASIP Journal on Wireless Communications and Networking,N/A,"Caixia Cai, Fuli Zhong, Han Hai, Mingzhi Chen, Wenyang Gan, Bing Sun and Yayu Yang",13 April 2024,https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-024-02344-w,https://jwcn-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13638-024-02344-w.pdf,"In this paper, we improve networks spectral efficiency (SE), extend networks lifetime, and maximize networks energy efficiency (EE) of two-way full-duplex (FD) relay networks. Firstly, to improve networks SE and to extend networks lifetime simultaneously, we design a two-way FD relay transmission strategy with simultaneous wireless information and power transfer and direct links (DLs). The designed transmission strategy can complete a bidirectional communication in only one time slot with the exists of DLs and the energy-constrained relay node. With the designed transmission strategy, we further give the characteristics of relay amplification factor, the analysis of the designed transmission strategy, and the EE analysis of traditional half-duplex two-way amplify-and-forward relaying. Secondly, to maximize networks EE, we present both the EE maximization problems and analyses of the designed transmission strategy with equal power allocation and optimal power allocation. To solve the EE maximization problems, we further propose the alternating optimal algorithm and give complexity analysis of the algorithm. Simulations show that our designed transmission strategy can improve the SE and EE of the networks."
2,"
A proposed analytic rubric for consecutive interpreting assessment: implications for similar contexts
",Language Testing in Asia,N/A,Shilan Shafiei,12 April 2024,https://languagetestingasia.springeropen.com/articles/10.1186/s40468-024-00278-0,https://languagetestingasia.springeropen.com/counter/pdf/10.1186/s40468-024-00278-0.pdf,"The present study aimed to develop an analytic assessment rubric for the consecutive interpreting course in the educational setting in the Iranian academic context. To this end, the general procedure of rubric development, including data preparation, selection, and refinement, was applied. The performance criteria were categorized into content, form, and delivery. Two groups of participants, experts, and students were recruited to establish the rubrics validity and reliability. Based on the statistical analysis, the developed analytic rubric was established as a valid tool for use in the Iranian academic context of consecutive interpreting assessment. The proposed rubric may provide novice trainers with a more objective and systematic tool for consecutive interpreting assessments."
3,"
Correction: DeepDet: YAMNet with BottleNeck Attention Module (BAM) for TTS synthesis detection
","EURASIP Journal on Audio, Speech, and Music Processing",N/A,"Rabbia Mahum, Aun Irtaza, Ali Javed, Haitham A. Mahmoud and Haseeb Hassan",11 April 2024,https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-024-00342-w,https://asmp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13636-024-00342-w.pdf,"Correction: EURASIP J. Audio Speech Music Process 2024, 18 (2024)"
4,"
Supervised Attention Multi-Scale Temporal Convolutional Network for monaural speech enhancement
","EURASIP Journal on Audio, Speech, and Music Processing",N/A,"Zehua Zhang, Lu Zhang, Xuyi Zhuang, Yukun Qian and Mingjiang Wang",11 April 2024,https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-024-00341-x,https://asmp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13636-024-00341-x.pdf,"Speech signals are often distorted by reverberation and noise, with a widely distributed signal-to-noise ratio (SNR). To address this, our study develops robust, deep neural network (DNN)-based speech enhancement methods. We reproduce several DNN-based monaural speech enhancement methods and outline a strategy for constructing datasets. This strategy, validated through experimental reproductions, has effectively enhanced the denoising efficiency and robustness of the models. Then, we propose a causal speech enhancement system named Supervised Attention Multi-Scale Temporal Convolutional Network (SA-MSTCN). SA-MSTCN extracts the complex compressed spectrum (CCS) for input encoding and employs complex ratio masking (CRM) for output decoding. The supervised attention module, a lightweight addition to SA-MSTCN, guides feature extraction. Experiment results show that the supervised attention module effectively improves noise reduction performance with a minor increase in computational cost. The multi-scale temporal convolutional network refines the perceptual field and better reconstructs the speech signal. Overall, SA-MSTCN not only achieves state-of-the-art speech quality and intelligibility compared to other methods but also maintains stable denoising performance across various environments."
5,"
New graphical models for sequential data and the improved state estimations by data-conditioned driving noises
",EURASIP Journal on Advances in Signal Processing,N/A,Wonjung Lee,10 April 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01145-z,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01145-z.pdf,"A prevalent problem in statistical signal processing, applied statistics, and time series analysis arises from the attempt to identify the hidden state of Markov process based on a set of available noisy observations. In the context of sequential data, filtering refers to the probability distribution of the underlying Markovian system given the measurements made at or before the time of the estimated state. In addition to the filtering, the smoothing distribution is obtained from incorporating measurements made after the time of the estimated state into the filtered solution. This work proposes a number of new filters and smoothers that, in contrast to the traditional schemes, systematically make use of the process noises to give rise to enhanced performances in addressing the state estimation problem. In doing so, our approaches for the resolution are characterized by the application of the graphical models; the graph-based framework not only provides a unified perspective on the existing filters and smoothers but leads us to design new algorithms in a consistent and comprehensible manner. Moreover, the graph models facilitate the implementation of the suggested algorithms through message passing on the graph."
6,"
Braille glove design toward interdisciplinary approach for visually impaired people: developing independent sensing design with MXene and embroidery
",Fashion and Textiles,N/A,"Miha Kim, Hwansoo Shin and Mee Jekal",10 April 2024,https://fashionandtextiles.springeropen.com/articles/10.1186/s40691-024-00383-x,https://fashionandtextiles.springeropen.com/counter/pdf/10.1186/s40691-024-00383-x.pdf,"This study developed a wearable device designed to aid visually impaired people (VIP) who are unfamiliar with Braille and/or struggle to learn and use Braille employing the design thinking process. VIP often face challenges in learning and using Braille, and even with existing equipment, including smart technologies, they frequently experience aesthetic and emotional discomfort beyond usability and accessibility. The interdisciplinary research team conducted mixed-method research following the double diamond module of the design thinking process. Initially, qualitative interviews to analyze VIPs Braille utilization were conducted to derive design factors. Subsequently, identified design factors were applied to conduct experiments with appropriate embroidery methods and connection structures using MXene-coated yarn. The strategies effectively enhanced pressure sensing performance by two times and realized highly localized and independent sensing to enable Braille recognition. Finally, a specific design for the wearable Braille recognition glove was proposed that incorporated these findings. The proposed wearable glove, equipped with a high-performance Braille recognition sensor, is designed to enhance the psychological and aesthetic satisfaction of VIP. The gloves universal design and accompanying technical support allow VIP to maintain their existing Braille reading methods while enjoying enhanced performance and avoiding social stigmas."
7,"
EEG emotion recognition based on differential entropy feature matrix through 2D-CNN-LSTM network
",EURASIP Journal on Advances in Signal Processing,N/A,"Teng Wang, Xiaoqiao Huang, Zenan Xiao, Wude Cai and Yonghang Tai",8 April 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01146-y,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01146-y.pdf,"Emotion recognition research has attracted great interest in various research fields, and electroencephalography (EEG) is considered a promising tool for extracting emotion-related information. However, traditional EEG-based emotion recognition methods ignore the spatial correlation between electrodes. To address this problem, this paper proposes an EEG-based emotion recognition method combining differential entropy feature matrix (DEFM) and 2D-CNN-LSTM. In this work, first, the one-dimensional EEG vector sequence is converted into a two-dimensional grid matrix sequence, which corresponds to the distribution of brain regions of the EEG electrode positions, and can better characterize the spatial correlation between the EEG signals of multiple adjacent electrodes. Then, the EEG signal is divided into equal time windows, and the differential entropy (DE) of each electrode in this time window is calculated, it is combined with a two-dimensional grid matrix and differential entropy to obtain a new data representation that can capture the spatiotemporal correlation of the EEG signal, which is called DEFM. Secondly, we use 2D-CNN-LSTM to accurately identify the emotional categories contained in the EEG signals and finally classify them through the fully connected layer. Experiments are conducted on the widely used DEAP dataset. Experimental results show that the method achieves an average classification accuracy of 91.92% and 92.31% for valence and arousal, respectively. The method performs outstandingly in emotion recognition. This method effectively combines the temporal and spatial correlation of EEG signals, improves the accuracy and robustness of EEG emotion recognition, and has broad application prospects in the field of emotion classification and recognition based on EEG signals."
8,"
The effects of interactionist versus interventionist dynamic assessment models on Iranian EFL learners’ speaking sub-skills: a mixed-method study
",Asian-Pacific Journal of Second and Foreign Language Education,N/A,"Saeid Sarabi Asl, Mojgan Rashtchi and Ghafour Rezaie",8 April 2024,https://sfleducation.springeropen.com/articles/10.1186/s40862-023-00237-x,https://sfleducation.springeropen.com/counter/pdf/10.1186/s40862-023-00237-x.pdf,"Dynamic assessment has been proven to effectively promote EFL learners' speaking proficiency, but its implementation in teaching speaking skills has been limited. One of the main reasons is that, thus far, very few studies have scrutinized the impacts of its two main models, interactionist and interventionist, on the speaking sub-skills of EFL learners. Instead of examining speaking as a general skill, this research focused on four speaking sub-skills, including grammatical range and accuracy, vocabulary, fluency, and pronunciation, with a concurrent experimental mixed-method design. To this aim, 30 undergraduate students from the Islamic Azad University, North Tehran Branch, were recruited through convenience sampling and participated in both phases. The quantitative data were collected from participants' pre-and post-test scores in the IELTS speaking module, and qualitative data consisted of the transcribed recordings of the intervention sessions. The integration of the quantitative and qualitative results revealed that while both models positively affected EFL learners' speaking proficiency, they differed in the extent and mechanisms of their impacts. The interactionist DA effectively improved grammatical range and accuracy, pronunciation, and vocabulary depth, and the interventionist DA enhanced fluency and vocabulary breadth more efficiently. The findings dissect the differential effects of DA models in one-to-one speaking lessons, offering practical insights for ELT practitioners and stakeholders."
9,"
Intelligent multi-agent model for energy-efficient communication in wireless sensor networks
",EURASIP Journal on Information Security,N/A,"Kiran Saleem, Lei Wang, Salil Bharany, Khmaies Ouahada, Ateeq Ur Rehman and Habib Hamam",8 April 2024,https://jis-eurasipjournals.springeropen.com/articles/10.1186/s13635-024-00155-6,https://jis-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13635-024-00155-6.pdf,"The research addresses energy consumption, latency, and network reliability challenges in wireless sensor network communication, especially in military security applications. A multi-agent context-aware model employing the belief-desire-intention (BDI) reasoning mechanism is proposed. This model utilizes a semantic knowledge-based intelligent reasoning network to monitor suspicious activities within a prohibited zone, generating alerts. Additionally, a BDI intelligent multi-level data transmission routing algorithm is proposed to optimize energy consumption constraints and enhance energy-awareness among nodes. The energy optimization analysis involves the Energy Percent Dataset, showcasing the efficiency of four wireless sensor network techniques (E-FEERP, GTEB, HHO-UCRA, EEIMWSN) in maintaining high energy levels. E-FEERP consistently exhibits superior energy efficiency (93 to 98%), emphasizing its effectiveness. The Energy Consumption Dataset provides insights into the joule measurements of energy consumption for each technique, highlighting their diverse energy efficiency characteristics. Latency measurements are presented for four techniques within a fixed transmission range of 5000 m. E-FEERP demonstrates latency ranging from 3.0 to 4.0 s, while multi-hop latency values range from 2.7 to 2.9 s. These values provide valuable insights into the performance characteristics of each technique under specified conditions. The Packet Delivery Ratio (PDR) dataset reveals the consistent performance of the techniques in maintaining successful packet delivery within the specified transmission range. E-FEERP achieves PDR values between 89.5 and 92.3%, demonstrating its reliability. The Packet Received Data further illustrates the efficiency of each technique in receiving transmitted packets. Moreover the network lifetime results show E-FEERP consistently improving from 2550 s to round 925. GTEB and HHO-UCRA exhibit fluctuations around 3100 and 3600 s, indicating variable performance. In contrast, EEIMWSN consistently improves from round 1250 to 4500 s."
10,"
Predicting UPDRS in Parkinson’s disease using ensembles of self-organizing map and neuro-fuzzy
",Journal of Cloud Computing,N/A,"Siren Zhao, Jilun Zhang and Jianbin Zhang",6 April 2024,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-024-00641-9,https://journalofcloudcomputing.springeropen.com/counter/pdf/10.1186/s13677-024-00641-9.pdf,"Parkinson's Disease (PD) is a complex, degenerative disease that affects nerve cells that are responsible for body movement. Artificial Intelligence (AI) algorithms are widely used to diagnose and track the progression of this disease, which causes symptoms of Parkinson's disease in its early stages, by predicting the results of the Unified Parkinson's Disease Rating Scale (UPDRS). In this study, we aim to develop a method based on the integration of two methods, one complementary to the other, Ensembles of Self-Organizing Map and Neuro-Fuzzy, and an unsupervised learning algorithm. The proposed method relied on the higher effect of the variables resulting from the analysis of the initial readings to obtain a correct and accurate preliminary prediction. We evaluate the developed approach on a PD dataset including speech cues. The process was evaluated with root mean square error (RMSE) and modified R square (modified R2). Our findings reveal that the proposed method is effective in predicting UPDRS outcomes by a combination of speech signals (measures of hoarseness). As the preliminary results during the evaluation showed numbers that proved the worth of the proposed method, such as UPDRS=0.955 and RMSE approximately 0.2769 during the prediction process."
