Tweet,label
lihat LRT dan Kereta Cepat yg lg uji coba ini..  sbg warga depok  kita ikut senang..  tapi manyun..,positive
@lrtjabodebek Stasiun lrt dukuh atas stasiun lrt pancoran stasiun lrt Rasuna said stasiun lrt Setiabudi dan stasiun lrt cawang,neutral
Said Didu menyatakan tiket kereta api mahal karena banyaknya tugas pembangunan LRT hingga kereta cepat pada KAI. Tapi  apa benar itu penyebabnya?  https://t.co/W8Y92KoveW,neutral
@jalur5_ @lrtjabodebek Presiden @jokowi : Jangan Cari-cari kesalahan desain LRT  Penumpang LRT : Nggak pak kita nggak cari2 kesalahan Kesalahannya datang sendiri 🤪,negative
Hello Inkatizen kali ini dari Minka bagikan tentang persiapan sarana LRT Jabodebek bersama Project Manager LRT Jabodebek PT INKA (Persero) Dian Yudha. Check this out!  https://t.co/VqQMGZ4nMD  #LRTJabodebekINKA #BUMNUntukIndonesia,neutral
@KAI121 @lrtjabodebek min tolong untuk jadwal realtime dan informasi keterlambatan selalu di update dan up to date dong ini dr stasium jati bening baru dari jam 11 nunggu nya 1.30 jam buat ke arah dukuh atas https://t.co/O4OtlxdAZ3,negative
@lrtjabodebek alhamdullillah pagi ini kereta jalan lancar,positive
@jalur5_ @lrtjabodebek Semua masalah diborong,negative
Saat LRT Jabodebek dioperasikan rupanya masih terjadi gangguan teknis yang membuat pintu kereta tidak bisa tertutup secara otomatis. https://t.co/hetB2D3sLi,negative
@jalur5_ @lrtjabodebek Untuk yang biasa naik transjabodetabek ini termasuk murah hehe tapi kalo dibanding krl tije ya jauh.. semoga aja fasilitasnya jauh diatas krl ya gak zonk dan rusak serta selalu terawat..,positive
@abelpramudya @txttransportasi @lrtjabodebek @kemenhub151 iyak....emang bener dah..hidup di kota mesti lihay😂😂 digocek terus soalnya,neutral
@lrtjabodebek gk siap buat uji coba google form bisa edit orang lain hanya bisa naik dari 3 stasiun padahal banyak yg antusias link baru dishare sore hari padahal saya antusias banget buat ikut uji coba karena rumah deket stasiun jatibening baru tapi gk bisa naik dari stasiun tersebut 🥲,neutral
Menteri Perhubungan  @BudiKaryaS : kemacetan di  DKI Jakarta  menghabiskan dana hingga  Rp 60 triliun per tahun. Kondisi memprihatinkan ini mendesak pemerintah melakukan terobosan melalui pembangunan infrastruktur #LRTJabodebek #JokowibangunIndonesia https://t.co/ZOX9gauoih,positive
@lrtjabodebek Mana nih uji coba buat masyarakat umumnya? pengalihan isu aja nih,negative
@jalur5_ @lrtjabodebek LRT gk malu apa sama proyek MRT punyanya DKI jakarta ?,negative
@jalur5_ @lrtjabodebek @brorondm nih om proyek bumn.,neutral
KAI berharap semoga dengan bertambahnya jumlah perjalanan LRT Jabodebek dapat melayani masyarakat dengan lebih baik lagi .  #SmartTravelLiveBetter #keretaapikita #LRTTambahJumlahPerjalanan https://t.co/4tasOXGDZE,positive
@txtdaritng @jalur5_ @lrtjabodebek Akibat tangerang ga diajak itu jd kualat😂,negative
@jalur5_ @lrtjabodebek Tempat duduknya knp dikit bngt si padahal spacenya masih ada loh buat dipanjangin bangkunya 😂,negative
Halo rekan TfJ ! Tahap awal operasional @lrtjabodebek Lin Bekasi (Dukuh Atas-Jati Mulya) dan Lin Cibubur (Dukuh Atas-Harjamukti) akan berlangsung 2 pekan atau sampai ada pemberitahuan lagi. Per 1 September LRT Jabodebek masih beroperasi terbatas pukul 05.00-20.00 https://t.co/FBJ4JFQL56,neutral
@jalur5_ @lrtjabodebek Ninggalin jejak dulu proses editing video review experience lagi proses editing dapat tambahan footage dari bocornya nih stasiun,neutral
Hai teman Raina  Nah  udah tau kan perbedaan kereta-kereta LRT Teman Raina  semoga bermanfaat ya!   #SmartTravelLiveBetter #LRTJabodebek https://t.co/U2FLANqX5t,positive
Anies Baswedan Sebut Akan Basmi Rezim yang Mengandalkan Rasa Takut Masyarakat . . . Perselingkuhan ASN Blue Moon Mahasiswa Inka Premier League Maudy Ayunda Rafael Alun Kasad Dudung Abdurachman Amrabat Luhut Macron Ciput FISIP UI WELCOME BACK LRT Jabodebek https://t.co/CJgIqZHoRy,neutral
